RedFighter,BlueFighter,AggressionScore,RedFinishingProb,BlueFinishingProb,RedStrikeGrapple,BlueStrikeGrapple,FightPace,SurvivabilityIndex,BettingEdgeIndex
Colby Covington,Joaquin Buckley,0.9895432937680818,0.13596491228070173,0.44761904761904764,0.3793103448275862,0.06976744186046512,0.10300000000000001,0.98,0.3864168618266979
Manel Kape,Bruno Silva,8.666572110791978e-4,0.4076923076923077,0.13596491228070173,0.2,0.3793103448275862,0.1305,0.7966666666666666,0.5540773589554078
Alexandre Pantoja,Kai Asakura,0.009471043581946108,0.6000000000000001,0.26068376068376065,0.7272727272727273,0.12280701754385964,0.23888888888888887,0.7083333333333334,0.39682539682539686
Shavkat Rakhmonov,Ian Machado Garry,0.006368515506815548,0.6512605042016807,0.15725806451612903,0.5714285714285714,0.1891891891891892,0,1,0.42425479787668435
Ciryl Gane,Alexander Volkov,0.0011125360328603216,0.3055555555555555,0.11559139784946236,0.2413793103448276,0.2682926829268293,0.1,1,0.5416666666666667
Bryce Mitchell,Kron Gracie,1.4449800373124837e-7,0.375,0.0910569105691057,0.5681818181818182,0.7407407407407407,0.14350000000000002,0.71,0.7668308702791462
Dominick Reyes,Anthony Smith,0.0011125360328603216,0.6324786324786325,0.18803418803418803,0,0.4,0.20311111111111108,0.9766666666666667,0.5416666666666667
Vicente Luque,Themba Gorimbo,0.007539734558373393,0.3246753246753247,0.28181818181818186,0.5714285714285714,0.3333333333333333,0.4826666666666667,0.17333333333333334,0.24834605597964388
Movsar Evloev,Aljamain Sterling,0.01299641655785336,0.21266968325791857,0.14215686274509803,0.2558139534883721,0.5925925925925926,0.1,1,0.36515896098686185
Cody Durden,Joshua Van,0.9577102281579662,0.25384615384615383,0.4188034188034188,0.6206896551724138,0.21951219512195122,0.1,1,0.21640648913376176
Petr Yan,Deiveson Figueiredo,0.004070137715896128,0.38095238095238093,0.1497326203208556,0.09090909090909091,0.38461538461538464,0,1,0.4632313472893183
Yan Xiaonan,Tabatha Ricci,0.026084075146382935,0.38095238095238093,0.13596491228070173,0.09090909090909091,0.6206896551724138,0.1,1,0.28564165141346337
Volkan Oezdemir,Carlos Ulberg,0.9918374288468401,0.22549019607843135,0.5458937198067633,0.23809523809523808,0.13978494623655913,0.1,1,0.40856707979995655
Jon Jones,Stipe Miocic,6.772414961977023e-5,0.7878787878787878,0.1527777777777778,0.375,0.16666666666666666,0.10516666666666666,0.9655555555555555,0.650075414781297
Charles Oliveira,Michael Chandler,0.008162571153159897,0.7522429261559697,0.30833333333333335,0.6231884057971014,0.296875,0,1,0.40856707979995655
Viviane Araujo,Karine Silva,0.9947798743064417,0.09523809523809523,0.36764705882352944,0.5,0.7142857142857143,0.1,1,0.4450822809031765
Jonathan Martinez,Marcus McGhee,0.52497918747894,0.23333333333333334,0.37435897435897436,0.2631578947368421,0.13846153846153847,0.1,1,0.022688598979013097
Marcin Tybura,Jhonata Diniz,0.52497918747894,0.4318181818181818,0.42083675143560295,0.6,0.06976744186046512,0.19999999999999998,1,0.022688598979013097
Neil Magny,Carlos Prates,0.999998629042793,0.10644257703081232,0.9111111111111112,0.5555555555555556,0,0.4033333333333333,0.9666666666666667,0.735042735042735
Luana Pinheiro,Gillian Robertson,0.9997515449181605,0.14347826086956522,0.6428571428571428,0.2903225806451613,0.819672131147541,0.1,1,0.6071700991609457
Brandon Moreno,Amir Albazi,0.03557118927263618,0.3111111111111111,0.14215686274509803,0.3333333333333333,0.5925925925925926,0,1,0.24285714285714277
Erin Blanchfield,Rose Namajunas,0.05468131721594076,0.24064171122994654,0.19215686274509802,0.7804878048780488,0.28888888888888886,0,1,0.1730605285592498
Ariane da Silva,Jasmine Jasudavicius,0.9878715650157257,0.15873015873015872,0.2994652406417112,0.2857142857142857,0.625,0.12533333333333335,0.8311111111111111,0.3694581280788177
Alexandr Romanov,Rodrigo Nascimento,NA,NA,NA,NA,NA,0.1,1,0
Ilia Topuria,Max Holloway,0.004070137715896128,0.5440251572327044,0.18832891246684352,0.24812030075187969,0.16417910447761194,0.13433333333333333,0.7711111111111111,0.4632313472893183
Robert Whittaker,Khamzat Chimaev,0.9884562475160777,0.2467948717948718,0.6577540106951871,0.13194444444444445,0.42168674698795183,0.42866666666666664,0.7133333333333334,0.3768115942028986
Magomed Ankalaev,Aleksandar Rakic,0.0022378485212763335,0.36651583710407243,NA,0.1232876712328767,NA,0.1,1,0.5024570024570025
Lerone Murphy,Dan Ige,0.0022378485212763335,0.20512820512820512,0.16374269005847952,0.16666666666666666,0.3076923076923077,0.1,1,0.5024570024570025
Geoff Neal,Rafael Dos Anjos,0.011543752483922289,0.3553113553113553,0.15263157894736842,0.10112359550561797,0.6666666666666666,0.47,0.3,0.3768115942028986
Ismail Naurdiev,Bruno Silva,0.06180346626358857,0.5076923076923077,0.27603640040444893,0.36,0.13043478260869565,0.1,1,0.15034562211981572
Anthony Hernandez,Michel Pereira,0.04833762871990521,0.5818181818181818,0.47474747474747475,0.75,0.1794871794871795,0.017555555555555546,0.8946666666666667,0.19459179712770086
Rob Font,Kyler Phillips,0.9999796009127201,0.12179487179487179,0.4444444444444444,0.3055555555555556,0.5,0.1,1,0.6818887853370612
Matheus Nicolau,Asu Almabayev,0.9895432937680818,0.16025641025641024,NA,0.4782608695652174,NA,0.1,1,0.3864168618266979
Brandon Royval,Tatsuro Taira,NA,NA,NA,NA,NA,0,1,0
Alex Pereira,Khalil Rountree Jr.,5.258334807966399e-4,0.8377445339470656,NA,0,NA,0.04373333333333334,0.9766666666666667,0.5769656699889258
Raquel Pennington,Julianna Pena,0.05468131721594076,0.21014492753623187,0.22619047619047616,0.8148148148148148,0.6470588235294118,0,1,0.1730605285592498
Jose Aldo,Mario Bautista,0.9037844582893072,0.17733990147783252,0.23444976076555024,0.17647058823529413,0.2,0.1,1,0.05450004459905444
Roman Dolidze,Kevin Holland,0.9381965337364114,0.17777777777777776,0.3472222222222222,0.36363636363636365,0.3333333333333333,0.4,1,0.15034562211981572
Ketlen Vieira,Kayla Harrison,0.9999999847700205,0.05887300252312868,0.5441176470588236,0.5882352941176471,0.4444444444444444,0.1,1,0.7916666666666667
Stephen Thompson,Joaquin Buckley,0.9836975006285591,0.1611111111111111,0.3603238866396761,0.1566265060240964,0.1111111111111111,0.12716666666666665,0.8188888888888889,0.34143049932523617
Marina Rodriguez,Iasmin Lucindo,0.9673905446932344,0.14559386973180077,0.2727272727272727,0.2222222222222222,0.3103448275862069,0.1,1,0.2554220196159691
Renato Moicano,Benoit Saint Denis,0.990806294632712,0.29914529914529914,0.746031746031746,0.7741935483870968,0,0.19999999999999998,1,0.39808974590016216
Nassourdine Imavov,Brendan Allen,0.016302499371440946,0.44178628389154706,0.20146520146520147,0.15611814345991562,0.7843137254901961,0.1,1,0.34143049932523617
Ailin Perez,Daria Zhelezniakova,0.011543752483922289,0.26515151515151514,0.19047619047619047,0.2903225806451613,0.23076923076923078,0.42266666666666663,0.7733333333333333,0.3768115942028986
Sean O'Malley,Merab Dvalishvili,0.9002495108803148,NA,0.18095238095238095,NA,0.24528301886792453,0,1,0.045454545454545414
Alexa Grasso,Valentina Shevchenko,0.08317269649392238,0.28181818181818186,0.17424242424242425,0.6666666666666666,0.47619047619047616,0,1,0.08902691511387173
Brian Ortega,Diego Lopes,0.9770226300899744,0.2583333333333333,0.43956043956043955,0.48148148148148145,0.3125,0.1,1,0.3017607771706132
Irene Aldana,Norma Dumont,0.9168273035060777,0.16346153846153846,0.16374269005847952,0.21875,0.6923076923076923,0.1,1,0.08902691511387173
Gilbert Burns,Sean Brady,NA,NA,NA,NA,NA,0,1,0
Jessica Andrade,Natalia Silva,NA,NA,NA,NA,NA,0.1,1,0
Matt Schnell,Cody Durden,0.9935036677156616,0.22424242424242424,0.5597826086956522,0.6060606060606061,0.1566265060240964,0.2602222222222222,0.5483333333333333,0.42775742775742776
Jared Cannonier,Caio Borralho,0.9971283708442995,0.2202797202797203,0.4722222222222222,0.15254237288135594,0.5384615384615384,0,1,0.48692810457516333
Angela Hill,Tabatha Ricci,0.97125150407346,0.12040133779264214,0.16993464052287582,0.35294117647058826,0.6666666666666666,0.1,1,0.27291886195995785
Neil Magny,Michael Morales,0.999999694097773,0.07573632538569425,0.4904761904761905,0.4230769230769231,0.21686746987951808,0.40700000000000003,0.93,0.7571428571428571
Dricus Du Plessis,Israel Adesanya,0.09975048911968513,0.4095238095238095,0.30512820512820515,0.3142857142857143,0.0990990990990991,0.050933333333333344,0.9316666666666666,0.045454545454545414
Kai Kara-France,Steve Erceg,0.9944034907754101,0.15725806451612903,0.2967032967032967,0.1891891891891892,0.5217391304347826,0.4186666666666667,0.8133333333333334,0.43624371859296485
Mateusz Gamrot,Dan Hooker,5.258334807966399e-4,0.3111111111111111,0.14761904761904762,0.6666666666666666,0.3103448275862069,0.1,1,0.5726113224434995
Tai Tuivasa,Jairzinho Rozenstruik,0.9895432937680818,0.2989247311827957,0.6538461538461539,0.08396946564885496,0,0.1,1,0.3832391713747646
Casey O'Neill,Luana Santos,0.9447994622170657,0.23376623376623376,0.25757575757575757,0.375,0.6666666666666666,0.1,1,0.16895604395604402
Marcin Tybura,Serghei Spivac,0.9447994622170657,0.31313131313131315,NA,0.25925925925925924,NA,0.4653333333333333,0.3466666666666667,0.16895604395604402
Yana Santos,Chelsea Chandler,NA,NA,NA,NA,NA,0.1,1,0
Karol Rosa,Pannie Kianzad,NA,NA,NA,NA,NA,0.1,1,0
Cory Sandhagen,Umar Nurmagomedov,0.9988304897349445,0.17027863777089783,0.42857142857142855,0.29411764705882354,0.7058823529411765,0,1,0.534821903242956
Marlon Vera,Deiveson Figueiredo,0.9381965337364114,0.3055555555555555,0.13596491228070173,0.2413793103448276,0.6206896551724138,0.1,1,0.15034562211981572
Mackenzie Dern,Loopy Godinez,0.07585818002124355,0.35,0.11014492753623188,0.8,0.3888888888888889,0.1,1,0.1071428571428571
Azamat Murzakanov,Alonzo Menifield,0.004586687291704019,0.5531135531135531,0.25757575757575757,0.08396946564885496,0.3333333333333333,0.22266666666666662,0.83,0.4546260715341413
Leon Edwards,Belal Muhammad,0.009013298652847822,0.35238095238095235,0.14215686274509803,0.15151515151515152,0.4074074074074074,0,1,0.3963963963963965
Tom Aspinall,Curtis Blaydes,7.096703991005881e-4,0.8363636363636364,0.2011494252873563,0,0.15151515151515152,0.48,0.2,0.5595238095238095
King Green,Paddy Pimblett,NA,0.26715686274509803,0.3356643356643357,0.1919191919191919,0.55,0.43266666666666664,0.6733333333333333,0
Arnold Allen,Giga Chikadze,0.007391541344281971,0.2714932126696833,0.20512820512820512,0.4230769230769231,0.16666666666666666,0.1,1,0.4172297297297298
Muhammad Mokaev,Manel Kape,0.01984030573407751,0.3055555555555555,0.23333333333333334,0.7586206896551724,0.2631578947368421,0.1,1,0.31712962962962965
Amanda Lemos,Virna Jandiroba,0.52497918747894,0.3841269841269841,0.35294117647058826,0.13312693498452013,0.8695652173913043,0.20266666666666666,0.98,0.021645021645021578
Cody Durden,Bruno Silva,0.9447994622170657,0.19444444444444442,0.35384615384615387,0.42105263157894735,0.5789473684210527,0.2271111111111111,0.7966666666666666,0.16895604395604402
Rose Namajunas,Tracy Cortez,0.009013298652847822,0.2994652406417112,0.11428571428571428,0.375,0.5882352941176471,0,1,0.3963963963963965
Jasmine Jasudavicius,Fatima Kline,0.0552005377829343,0.2111111111111111,0.17692307692307693,0.47058823529411764,0.5714285714285714,0.1,1,0.16895604395604402
Alex Pereira,Jiri Prochazka,0.06978478287658009,0.5288220551378446,0.44805194805194803,0.05759162303664921,0.15254237288135594,0.2637777777777778,0.5216666666666666,0.12454701506770927
Dan Ige,Diego Lopes,0.9954133127082959,0.25396825396825395,0.5833333333333333,0.42857142857142855,0.4,0.1,1,0.4546260715341413
Anthony Smith,Roman Dolidze,0.9302152171234199,0.3333333333333333,0.3850267379679144,0.30434782608695654,0.1935483870967742,0.1,1,0.12454701506770927
Mayra Bueno Silva,Macy Chiasson,0.549833997312478,NA,0.2426470588235294,NA,0.4827586206896552,0.24044444444444446,0.6966666666666667,0.04336043360433606
Ian Machado Garry,Michael Page,0.02819528797014257,0.2909090909090909,0.21407624633431085,0.2857142857142857,0.13043478260869565,0.1,1,0.27296587926509186
Michelle Waterson-Gomez,Gillian Robertson,NA,NA,NA,NA,NA,0.1,1,0
Robert Whittaker,Ikram Aliskerov,0.09112296101485616,0.38596491228070173,0.40336134453781514,0.1,0.25,0.46366666666666667,0.36333333333333334,0.0652173913043479
Sergei Pavlovich,Alexander Volkov,0.01506798981059282,0.642156862745098,0.27692307692307694,0,0.25,0.1,1,0.3469991546914623
Johnny Walker,Volkan Oezdemir,0.08317269649392238,0.4636363636363636,0.3626373626373626,0.16279069767441862,0.1724137931034483,0.45066666666666666,0.49333333333333335,0.08902691511387173
Alex Perez,Tatsuro Taira,0.9895432937680818,0.2833333333333333,0.5777777777777777,0.26666666666666666,0.8387096774193549,0.22688888888888886,0.7983333333333333,0.3832391713747646
Jared Cannonier,Nassourdine Imavov,0.9168273035060777,0.2698412698412698,0.375,0.14893617021276595,0.3,0.06746666666666667,0.8283333333333334,0.08902691511387173
Dominick Reyes,Dustin Jacoby,0.9878715650157257,0.22549019607843135,0.5133689839572192,0.23809523809523808,0.06976744186046512,0.46,0.4,0.3694581280788177
Islam Makhachev,Dustin Poirier,NA,NA,NA,NA,NA,0.015333333333333327,0.908,0
Sean Strickland,Paulo Costa,NA,NA,NA,NA,NA,0,1,0
Kevin Holland,Michal Oleksiejczuk,NA,NA,NA,NA,NA,0.4686666666666667,0.31333333333333335,0
Jailton Almeida,Alexandr Romanov,NA,NA,NA,NA,NA,0.451,0.49,0
Edson Barboza,Lerone Murphy,0.9507339939159732,0.3142857142857143,0.3333333333333333,0.12087912087912088,0.16417910447761194,0,1,0.18927754168028765
Luana Pinheiro,Angela Hill,NA,NA,NA,NA,NA,0.21066666666666667,0.92,0
Derrick Lewis,Rodrigo Nascimento,NA,NA,NA,NA,NA,0.14183333333333334,0.7211111111111111,0
Joaquin Buckley,Nursulton Ruziboev,NA,NA,NA,NA,NA,0.1,1,0
Alonzo Menifield,Carlos Ulberg,NA,NA,NA,NA,NA,0.496,0.04,0
Tabatha Ricci,Tecia Pennington,0.057324175898868755,0.16408668730650156,0.13333333333333333,0.6530612244897959,0.36666666666666664,0.1,1,0.164578111946533
Alexandre Pantoja,Steve Erceg,0.03557118927263618,0.4449760765550239,0.28525641025641024,0.6164383561643836,0.24050632911392406,0,1,0.24285714285714277
Jose Aldo,Jonathan Martinez,0.9552122969502131,0.20512820512820512,0.28888888888888886,0.16666666666666666,0.2,0.1,1,0.20739348370927319
Anthony Smith,Vitor Petrino,0.9993249172693672,0.18803418803418803,0.63003663003663,0.4,0.16666666666666666,0.46,0.4,0.5658263305322129
Paul Craig,Caio Borralho,0.9998883466593704,0.1575757575757576,0.641025641025641,0.5833333333333334,0.47058823529411764,0.23777777777777778,0.7166666666666667,0.6346280447662936
Karolina Kowalkiewicz,Iasmin Lucindo,0.9982562986690452,0.09610983981693363,0.4222222222222222,0.55,0.4666666666666667,0.1,1,0.5170618854829381
Matheus Nicolau,Alex Perez,NA,NA,NA,NA,NA,0.23644444444444446,0.7266666666666667,0
Ryan Spann,Bogdan Guskov,NA,NA,NA,NA,NA,0.2231111111111111,0.8266666666666667,0
Ariane da Silva,Karine Silva,NA,NA,NA,NA,NA,0.1,1,0
Alex Pereira,Jamahal Hill,0.08317269649392238,0.5238095238095237,0.39999999999999997,0.052132701421800945,0.125,0.43533333333333335,0.6466666666666666,0.08902691511387173
Zhang Weili,Yan Xiaonan,3.19000128926791e-4,0.6166666666666667,NA,0.25925925925925924,NA,0,1,0.5975975975975976
Justin Gaethje,Max Holloway,0.032609455306765595,0.4434782608695652,0.21266968325791857,0.06382978723404255,0.2558139534883721,1.1111111111111738e-4,0.9993333333333333,0.2554220196159691
Charles Oliveira,Arman Tsarukyan,0.9833736438921183,0.3356643356643357,0.5597826086956522,0.55,0.1566265060240964,0.1,1,0.34070700498807205
Calvin Kattar,Aljamain Sterling,0.9673905446932344,NA,0.3333333333333333,NA,0.6956521739130435,0.1,1,0.2554220196159691
Holly Holm,Kayla Harrison,0.9996809998710731,0.11868686868686869,0.5299145299145299,0.2222222222222222,0.6086956521739131,0.24288888888888888,0.6783333333333333,0.5975975975975976
Sodiq Yusuff,Diego Lopes,0.9321377064230055,0.26666666666666666,0.5357142857142857,0.2222222222222222,0.45454545454545453,0.4703333333333333,0.2966666666666667,0.13223140495867775
Jalin Turner,Renato Moicano,NA,NA,NA,NA,NA,0.2108888888888889,0.9183333333333333,0
Jessica Andrade,Marina Rodriguez,NA,NA,NA,NA,NA,0.1,1,0
Deiveson Figueiredo,Cody Garbrandt,NA,NA,NA,NA,NA,0.2128888888888889,0.9033333333333333,0
Brendan Allen,Chris Curtis,0.016302499371440946,0.48863636363636365,0.27257799671592775,0.8,0.10256410256410256,0,1,0.34143049932523617
Norma Dumont,Germaine de Randamie,0.47502081252106,0.15263157894736842,0.27485380116959063,0.6666666666666666,0.16279069767441862,0.1,1,0.022688598979013097
Melissa Mullins,Nora Cornolle,0.001578028060403861,0.41437632135306557,NA,0.4230769230769231,NA,0.2253333333333333,0.81,0.5228684359119142
Erin Blanchfield,Manon Fiorot,0.018342890697743287,0.46825396825396826,0.2011494252873563,0.8163265306122449,0.15151515151515152,0,1,0.3283917340521115
Vicente Luque,Joaquin Buckley,0.06180346626358857,0.4675324675324675,0.33257918552036203,0.35714285714285715,0.08759124087591241,0.22288888888888891,0.8283333333333334,0.15034562211981572
Virna Jandiroba,Loopy Godinez,0.9816571093022567,0.20146520146520147,0.2159090909090909,0.7843137254901961,0.4117647058823529,0.1,1,0.3283917340521115
Amanda Ribas,Rose Namajunas,0.9816571093022567,0.23376623376623376,0.5075757575757576,0.625,0.12280701754385964,0,1,0.3283917340521115
Tai Tuivasa,Marcin Tybura,0.46008511544443426,0.5238095238095237,0.48951048951048953,0.052132701421800945,0.3333333333333333,0.41733333333333333,0.8266666666666667,0.03633390862021979
Pannie Kianzad,Macy Chiasson,NA,NA,NA,NA,NA,0.422,0.78,0
Josiane Nunes,Chelsea Chandler,NA,NA,NA,NA,NA,0.1,1,0
Sean O'Malley,Marlon Vera,0.005220125693558397,NA,0.24848484848484848,NA,0.24324324324324326,0,1,0.4450822809031765
Dustin Poirier,Benoit Saint Denis,0.9816571093022567,0.3055555555555555,0.6666666666666667,0.2413793103448276,0.6818181818181818,0.23288888888888887,0.7533333333333333,0.3283917340521115
Kevin Holland,Michael Page,0.0678622935769945,0.3356643356643357,0.2202797202797203,0.45,0.15254237288135594,0.1,1,0.13223140495867775
Gilbert Burns,Jack Della Maddalena,0.9577102281579662,0.3325581395348837,0.4642857142857143,0.7317073170731707,0.06542056074766354,0.11283333333333334,0.9144444444444444,0.21640648913376176
Petr Yan,Song Yadong,0.05468131721594076,0.21428571428571427,NA,0.2,NA,0.1,1,0.1730605285592498
Curtis Blaydes,Jailton Almeida,0.9234378026481879,0.3553113553113553,0.4666666666666667,0.10112359550561797,0.5925925925925926,0.25866666666666666,0.56,0.10717836548021475
Katlyn Cerminara,Maycee Barber,0.9673905446932344,0.13574660633484165,0.26666666666666666,0.42857142857142855,0.2222222222222222,0.1,1,0.2554220196159691
Mateusz Gamrot,Rafael Dos Anjos,1.9350764710127034e-4,0.3222222222222222,0.10644257703081232,0.28,0.5555555555555556,0.1,1,0.6162938716130206
Pedro Munhoz,Kyler Phillips,0.9870035834421468,0.16025641025641024,0.25,0.4782608695652174,0.3125,0.1,1,0.36515896098686185
Jairzinho Rozenstruik,Shamil Gaziev,0.9644288107273639,0.3894009216589862,0.7204968944099379,0.05660377358490566,0.34210526315789475,0.039999999999999994,1,0.24285714285714277
Alex Perez,Muhammad Mokaev,0.9993249172693672,0.16783216783216784,0.5656565656565656,0.45454545454545453,0.8695652173913043,0.1,1,0.5658263305322129
Umar Nurmagomedov,Bekzat Almakhan,4.599055376537186e-10,0.6871035940803383,0.07437070938215103,0.7333333333333333,0.2857142857142857,0.1,1,0.8199233716475096
Matt Schnell,Steve Erceg,0.9998064923528988,0.14358974358974358,0.6904761904761905,0.5384615384615384,0.47368421052631576,0.26088888888888884,0.5433333333333333,0.6162938716130206
Brandon Moreno,Brandon Royval,0.004070137715896128,0.4722222222222222,0.2361111111111111,0.46153846153846156,0.5333333333333333,0,1,0.4632313472893183
Yair Rodriguez,Brian Ortega,0.044787703049786735,0.40079365079365076,0.40384615384615385,0.1634980988593156,0.6470588235294118,0.14033333333333334,0.7311111111111112,0.20739348370927319
Alexander Volkanovski,Ilia Topuria,0.0678622935769945,0.35238095238095235,NA,0.15151515151515152,NA,0.21955555555555556,0.8533333333333334,0.13223140495867775
Robert Whittaker,Paulo Costa,0.022977369910025615,0.3269230769230769,0.27485380116959063,0.2,0.16279069767441862,0.1,1,0.3017607771706132
Geoff Neal,Ian Machado Garry,0.990806294632712,0.2657004830917874,0.37777777777777777,0.13725490196078433,0.2558139534883721,0.1,1,0.39808974590016216
Merab Dvalishvili,Henry Cejudo,0.004586687291704019,0.22549019607843135,0.18095238095238095,0.23809523809523808,0.24528301886792453,0.1,1,0.4546260715341413
Anthony Hernandez,Roman Kopylov,0.018342890697743287,0.5636363636363637,0.2710196779964222,0.6956521739130435,0.1166077738515901,0.22155555555555556,0.8383333333333334,0.3283917340521115
Amanda Lemos,Mackenzie Dern,0.04833762871990521,0.4440251572327044,0.37662337662337664,0.10543130990415335,0.8,0.1,1,0.19459179712770086
Marcos Rogerio de Lima,Junior Tafa,0.014774031693273055,NA,0.45263157894736844,NA,0.07692307692307693,0.25022222222222223,0.6233333333333333,0.35214211076280044
Andrea Lee,Miranda Maverick,NA,NA,NA,NA,NA,0.1,1,0
Jack Hermansson,Joe Pyfer,0.9895432937680818,0.26785714285714285,0.7100271002710028,0.46153846153846156,0.23076923076923078,0,1,0.3864168618266979
Dan Ige,Andre Fili,0.032609455306765595,0.369047619047619,0.19548872180451127,0.18518518518518517,0.25,0.44566666666666666,0.5433333333333333,0.2554220196159691
Roman Dolidze,Nassourdine Imavov,0.9644288107273639,0.35384615384615387,0.4603174603174603,0.42105263157894735,0.26380368098159507,0,1,0.24285714285714277
Renato Moicano,Drew Dober,0.022977369910025615,0.5597826086956522,0.3375959079283888,0.8433734939759037,0.09836065573770492,0.1,1,0.3017607771706132
Viviane Araujo,Natalia Silva,0.9977621514787236,0.12549019607843137,0.3,0.4666666666666667,0.43478260869565216,0.1,1,0.5024570024570025
Sean Strickland,Dricus Du Plessis,0.5099986668799655,0.39438339438339437,0.5333333333333333,0.1519434628975265,0.3333333333333333,0,1,0.009071117561683661
Raquel Pennington,Mayra Bueno Silva,0.9577102281579662,0.15263157894736842,NA,0.6666666666666666,NA,0,1,0.21640648913376176
Neil Magny,Mike Malott,0.9988874639671398,0.13095238095238093,0.75,0.3548387096774194,0.75,0.10250000000000001,0.9833333333333333,0.5416666666666667
Chris Curtis,Marc-Andre Barriault,0.039165722796764356,0.3333333333333333,0.25882352941176473,0.1111111111111111,0.2,0.1,1,0.22820037105751395
Arnold Allen,Movsar Evloev,0.9816571093022567,0.20855614973262032,0.19090909090909092,0.42857142857142855,0.47368421052631576,0.1,1,0.3283917340521115
Magomed Ankalaev,Johnny Walker,1.1165334062956276e-4,0.7777777777777777,0.17261904761904762,0,0.25925925925925924,0.23066666666666663,0.77,0.6346280447662936
Ricky Simon,Mario Bautista,0.039165722796764356,0.3076923076923077,0.25396825396825395,0.5,0.42857142857142855,0.1,1,0.2261904761904761
Leon Edwards,Colby Covington,NA,NA,NA,NA,NA,0,1,0
Alexandre Pantoja,Brandon Royval,NA,NA,NA,NA,NA,0,1,0
Shavkat Rakhmonov,Stephen Thompson,NA,NA,NA,NA,NA,0.2008888888888889,0.9933333333333333,0
Josh Emmett,Bryce Mitchell,NA,NA,NA,NA,NA,0.461,0.39,0
Alonzo Menifield,Dustin Jacoby,NA,NA,NA,NA,NA,0.1,1,0
Irene Aldana,Karol Rosa,NA,NA,NA,NA,NA,0.1,1,0
Casey O'Neill,Ariane da Silva,NA,NA,NA,NA,NA,0.24933333333333332,0.63,0
Tagir Ulanbekov,Cody Durden,NA,NA,NA,NA,NA,0.20777777777777776,0.9416666666666667,0
Song Yadong,Chris Gutierrez,0.0017437013309547797,0.29914529914529914,0.13448275862068965,0.22580645161290322,0.24324324324324326,0,1,0.5170618854829381
Anthony Smith,Khalil Rountree Jr.,0.973915924853617,0.3205128205128205,NA,0.47619047619047616,NA,0.14066666666666666,0.7288888888888889,0.28564165141346337
Tim Elliott,Sumudaerji,0.04833762871990521,0.4242424242424242,0.34615384615384615,0.8333333333333334,0.08256880733944955,0.41933333333333334,0.8066666666666666,0.19459179712770086
Beneil Dariush,Arman Tsarukyan,0.9926084586557181,0.19457013574660634,0.5458937198067633,0.38461538461538464,0.13978494623655913,0.4786666666666667,0.21333333333333335,0.41426146010186754
Jalin Turner,King Green,NA,0.5079365079365079,0.26666666666666666,0.4166666666666667,0.2222222222222222,0.44366666666666665,0.5633333333333334,0
Rob Font,Deiveson Figueiredo,0.09112296101485616,0.35294117647058826,0.38181818181818183,0.13043478260869565,0.47058823529411764,0.1,1,0.0652173913043479
Sean Brady,Kelvin Gastelum,0.47502081252106,0.3325581395348837,0.3254901960784314,0.7317073170731707,0.14666666666666667,0.13283333333333333,0.7811111111111111,0.022688598979013097
Miesha Tate,Julia Avila,NA,NA,NA,NA,NA,0.1375,0.75,0
Brendan Allen,Paul Craig,2.4845508183933427e-4,0.8319039451114922,0.22424242424242424,0.42105263157894735,0.6060606060606061,0.14366666666666666,0.7088888888888889,0.6071700991609457
Luana Pinheiro,Amanda Ribas,0.9895432937680818,0.25757575757575757,0.31313131313131315,0.3333333333333333,0.7407407407407407,0.11116666666666666,0.9255555555555556,0.3864168618266979
Jiri Prochazka,Alex Pereira,0.549833997312478,0.4583333333333333,0.507177033492823,0.2222222222222222,0.0625,0.21155555555555555,0.9133333333333333,0.04336043360433606
Sergei Pavlovich,Tom Aspinall,0.9168273035060777,0.5238095238095237,0.5636363636363637,0.052132701421800945,0.30434782608695654,0.477,0.23,0.08902691511387173
Jessica Andrade,Mackenzie Dern,0.9895432937680818,0.23333333333333334,0.5795454545454546,0.2631578947368421,0.8536585365853658,0.2233333333333333,0.825,0.3864168618266979
Matt Frevola,Benoit Saint Denis,0.9849320101894071,0.29914529914529914,0.6850507982583455,0.22580645161290322,0.4230769230769231,0.4696666666666667,0.30333333333333334,0.3469991546914623
Steve Erceg,Alessandro Costa,0.017124033315727736,NA,0.2727272727272727,NA,0.3103448275862069,0.1,1,0.33333333333333337
Tabatha Ricci,Loopy Godinez,0.9828759666842724,0.12454212454212454,0.20098039215686275,0.625,0.40540540540540543,0.1,1,0.33333333333333337
Jailton Almeida,Derrick Lewis,1.9350764710127034e-4,0.9489795918367347,0.20169082125603865,1,0.11949685534591195,0,1,0.6162938716130206
Angela Hill,Denise Gomes,NA,NA,NA,NA,NA,0.1,1,0
Islam Makhachev,Alexander Volkanovski,0.0033348073074133443,0.4857142857142857,0.21014492753623187,0.6153846153846154,0.18518518518518517,0.438,0.62,0.4652777777777779
Kamaru Usman,Khamzat Chimaev,0.9988874639671398,0.16346153846153846,0.6273584905660378,0.21875,0.3548387096774194,0.1,1,0.5416666666666667
Tim Elliott,Muhammad Mokaev,0.9998334419352227,0.09728506787330317,0.5023584905660378,0.6097560975609756,0.8092485549132948,0.1195,0.87,0.6164874551971327
Sodiq Yusuff,Edson Barboza,0.02874849592653997,0.48717948717948717,0.3717948717948718,0.26666666666666666,0.07407407407407407,0,1,0.27291886195995785
